measurement_start,measurement_end,provider,agent,model,reasoning,tokens_m,limit_used,plan,limit_type
2026-08-15,2026-08-20,openai,codex,gpt-5.6-terra,high,197.7,92.0,plus,weekly
2026-08-16,2026-08-20,openai,codex,gpt-5.6-sol,high,239.4,47.0,pro,weekly
